Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
31,31,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
32,32,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
33,33,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
34,34,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
35,35,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
36,36,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
37,37,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
38,38,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
39,39,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
40,40,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
41,41,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
42,42,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
43,43,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
44,44,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
45,45,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
46,46,20000.0,0.0,0,0,0,0,0,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
47,47,20000.0,0.0,0,0,0,0,1,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
48,48,20000.0,2050.0,0,0,0,0,1,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
49,49,20000.0,2050.0,0,0,0,0,1,0,0.1,0,-650.0,-500.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.00013333333333333334,20000.0
