Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
45,45,20000,2380,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,20000
46,46,20000,2380,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,20000
47,47,20000,2380,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,20000
48,48,20000,2380,0,0,0,0,1,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,20000
49,49,20000,2380,0,0,0,0,1,0,0.1,0,0,0,-1,0,0,820.0609733,0,0,0,3.141592654,1,1,1,0,2.46018292,2.46018292,20000
50,50,20000,2380,0,0,0,0,1,0,0.1,0,0,0,0,0,0,1,0,0,0,1.570796327,1,0,0,0,0.003,0.003,20000
51,51,20000,2380,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
52,52,20000,2380,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
53,53,20000,2380,0,0,0,1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,20000
54,54,20000,2380,0,0,0,1,1,0,0.005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,20000
55,55,20000,2380,0,0,0,1,1,0,0.005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,20000
56,56,20000,2380,0,0,0,1,1,0,0.005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,20000
57,57,20000,2380,0,0,0,1,1,0,0.005,3,338.987,71.504,180.838,3,3,390.803519,4.242640687,0,0.010856199,1.089719772,1,0,0,0,1.172410557,1.172410557,20000
